Country,Metro Area,State,Population,lat,lng
US,Boulder, CO ,"330,262",40.025,-105.252
US,Colorado Springs, CO ,"777,634",38.867,-104.761
US,Denver, CO ,"3,052,498",39.762,-104.876
US,Fort Collins, CO ,"374,574",40.548,-105.066
US,Grand Junction, CO ,"161,260",39.088,-108.567
US,Greeley, CO ,"369,745",40.415,-104.771
US,Pueblo, CO ,"169,866",38.270,-104.611
US,Bridgeport, CT ,"972,679",41.192,-73.195
US,Hartford, CT ,"1,169,048",41.766,-72.683
US,New Haven, CT ,"576,718",41.311,-72.925
US,Norwich, CT ,"282,602",41.550,-72.088
US,Waterbury, CT ,"462,220",41.558,-73.036
US,Washington, DC,"6,436,489",38.905,-77.016
US,Washington, DC,"1,843,357",38.905,-77.016
US,Wilmington, DE,"760,272",34.210,-77.887
US,Dover, DE ,"192,690",39.161,-75.520
US,Cape Coral, FL ,"860,959",26.644,-81.996
US,Crestview, FL ,"310,149",30.748,-86.579
US,Deltona, FL ,"739,516",28.905,-81.214
US,Gainesville, FL ,"359,780",29.680,-82.346
US,Homosassa Springs, FL ,"170,174",28.812,-82.539
US,Jacksonville, FL ,"1,760,548",30.332,-81.675
US,Lakeland, FL ,"852,878",28.056,-81.955
US,Miami, FL ,"6,457,988",25.784,-80.210
US,Naples, FL ,"416,233",26.150,-81.794
US,North Port, FL ,"934,956",27.058,-82.198
US,Ocala, FL ,"428,905",29.178,-82.151
US,Orlando, FL ,"2,940,513",28.477,-81.337
US,Palm Bay, FL ,"658,447",27.963,-80.659
US,Panama City, FL ,"226,221",30.200,-85.600
US,Pensacola, FL ,"538,928",30.441,-87.191
US,Port St. Lucie, FL ,"556,336",27.280,-80.388
US,Punta Gorda, FL ,"212,122",26.894,-82.051
US,Sebastian, FL ,"172,139",27.782,-80.482
US,Sebring, FL ,"109,778",27.477,-81.453
US,Tallahassee, FL ,"397,675",30.455,-84.253
US,Tampa, FL ,"3,424,560",27.995,-82.445
US,Wildwood, FL ,"154,693",38.580,-90.670
US,Augusta, GA,"636,760",33.365,-82.071
US,Columbus, GA,"324,343",39.986,-82.986
US,Albany, GA ,"145,451",42.666,-73.799
US,Athens, GA ,"223,689",33.951,-83.369
US,Atlanta, GA ,"6,411,149",33.763,-84.422
US,Brunswick, GA ,"117,135",31.145,-81.475
US,Dalton, GA ,"146,386",34.769,-84.972
US,Gainesville, GA ,"221,745",29.680,-82.346
US,Hinesville, GA ,"89,046",31.825,-81.614
US,Macon, GA ,"237,617",32.807,-83.697
US,Rome, GA ,"101,390",34.266,-85.186
US,Savannah, GA ,"431,589",32.029,-81.182
US,Valdosta, GA ,"152,588",30.850,-83.279
US,Warner Robins, GA ,"204,110",32.596,-83.653
US,Honolulu, HI ,"998,747",21.329,-157.846
US,Kahului, HI ,"163,769",20.872,-156.460
US,Davenport, IA,"381,801",41.557,-90.605
US,Sioux City, IA,"145,994",42.496,-96.390
US,Ames, IA ,"129,227",42.026,-93.622
US,Cedar Rapids, IA ,"278,677",41.966,-91.678
US,Des Moines, IA ,"753,913",41.573,-93.611
US,Dubuque, IA ,"99,242",42.500,-90.707
US,Iowa City, IA ,"182,711",41.656,-91.530
US,Waterloo, IA ,"170,081",42.492,-92.352
US,Lewiston, ID,"65,370",44.092,-70.168
US,Boise City, ID ,"845,877",36.731,-102.510
US,Coeur d'Alene, ID ,"188,323",47.704,-116.794
US,Idaho Falls, ID ,"171,233",43.487,-112.036
US,Pocatello, ID ,"91,010",42.872,-112.465
US,Twin Falls, ID ,"122,565",42.565,-114.461
US,Chicago, IL,"9,408,576",41.838,-87.687
US,Bloomington, IL ,"172,069",40.476,-88.970
US,Champaign, IL ,"242,453",40.114,-88.274
US,Decatur, IL ,"100,737",39.856,-88.934
US,Kankakee, IL ,"106,410",41.102,-87.864
US,Peoria, IL ,"364,565",40.752,-89.615
US,Rockford, IL ,"337,103",42.260,-89.064
US,Springfield, IL ,"206,308",42.116,-72.540
US,South Bend, IN,"325,294",41.677,-86.270
US,Bloomington, IN ,"162,553",40.476,-88.970
US,Columbus, IN ,"84,741",39.986,-82.986
US,Elkhart, IN ,"207,436",41.692,-85.963
US,Evansville, IN ,"271,793",37.988,-87.534
US,Fort Wayne, IN ,"462,978",41.089,-85.144
